Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
63.00,1,TRUE,TRUE,TRUE,Shahran,1850000000.00,61666.67
60.00,1,TRUE,TRUE,TRUE,Shahran,1850000000.00,61666.67
79.00,2,TRUE,TRUE,TRUE,Pardis,550000000.00,18333.33
95.00,2,TRUE,TRUE,TRUE,Shahrake Qods,902500000.00,30083.33
123.00,2,TRUE,TRUE,TRUE,Shahrake Gharb,7000000000.00,233333.33
70.00,2,TRUE,TRUE,FALSE,North Program Organization,2050000000.00,68333.33
87.00,2,TRUE,TRUE,TRUE,Pardis,600000000.00,20000.00
59.00,1,TRUE,TRUE,TRUE,Shahran,2150000000.00,71666.67
54.00,2,TRUE,TRUE,FALSE,Andisheh,493000000.00,16433.33
71.00,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2370000000.00,79000.00
68.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,2450000000.00,81666.67
64.00,1,TRUE,TRUE,TRUE,Narmak,2100000000.00,70000.00
54.00,1,FALSE,TRUE,TRUE,Narmak,1690000000.00,56333.33
136.00,3,TRUE,TRUE,TRUE,Saadat Abad,11000000000.00,366666.67
95.00,2,TRUE,TRUE,TRUE,Zafar,5000000000.00,166666.67
63.00,1,FALSE,TRUE,FALSE,Islamshahr,570000000.00,19000.00
155.00,3,TRUE,TRUE,TRUE,Narmak,6700000000.00,223333.33
64.00,2,FALSE,TRUE,FALSE,Pirouzi,1450000000.00,48333.33
140.00,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,6400000000.00,213333.33
42.00,1,FALSE,TRUE,FALSE,Pirouzi,1390000000.00,46333.33
93.00,2,TRUE,TRUE,TRUE,Shahrake Gharb,7000000000.00,233333.33
87.00,2,TRUE,TRUE,TRUE,Shahrake Shahid Bagheri,2500000000.00,83333.33
65.00,1,TRUE,TRUE,TRUE,Shahran,1880000000.00,62666.67
99.00,2,TRUE,TRUE,TRUE,Moniriyeh,2277000000.00,75900.00
105.00,2,TRUE,TRUE,TRUE,Saadat Abad,7150000000.00,238333.33
160.00,3,TRUE,TRUE,TRUE,Velenjak,14945000000.00,498166.67
77.00,2,TRUE,TRUE,TRUE,Amirieh,1771000000.00,59033.33
123.00,2,TRUE,TRUE,TRUE,Pirouzi,4059000000.00,135300.00
110.00,2,TRUE,TRUE,TRUE,Southern Janatabad,630000000.00,21000.00
100.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3200000000.00,106666.67
90.00,2,FALSE,TRUE,FALSE,Salsabil,1500000000.00,50000.00
49.00,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2200000000.00,73333.33
96.00,2,TRUE,TRUE,TRUE,Zargandeh,7872000000.00,262400.00
67.00,2,TRUE,TRUE,FALSE,Feiz Garden,2350000000.00,78333.33
68.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,2500000000.00,83333.33
62.00,1,TRUE,FALSE,TRUE,Water Organization,2150000000.00,71666.67
55.00,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2150000000.00,71666.67
110.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3750000000.00,125000.00
129.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,5250000000.00,175000.00
109.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,4830000000.00,161000.00
58.00,1,TRUE,TRUE,TRUE,Saadat Abad,3400000000.00,113333.33
55.00,1,TRUE,TRUE,TRUE,Saadat Abad,3850000000.00,128333.33
150.00,2,FALSE,TRUE,TRUE,Shahrake Qods,1200000000.00,40000.00
60.00,2,TRUE,TRUE,TRUE,,2650000000.00,88333.33
130.00,3,TRUE,TRUE,FALSE,ShahrAra,5000000000.00,166666.67
88.00,2,TRUE,TRUE,TRUE,Gisha,4750000000.00,158333.33
51.00,1,TRUE,TRUE,TRUE,Gisha,2980000000.00,99333.33
113.00,3,TRUE,TRUE,FALSE,Shahrake Gharb,7000000000.00,233333.33
110.00,2,TRUE,TRUE,TRUE,Ray,2035000000.00,67833.33
60.00,1,TRUE,TRUE,TRUE,Abbasabad,2460000000.00,82000.00
98.00,2,TRUE,TRUE,TRUE,Pardis,540000000.00,18000.00
62.00,2,FALSE,FALSE,TRUE,Ostad Moein,1450000000.00,48333.33
150.00,3,TRUE,TRUE,TRUE,Farmanieh,10000000000.00,333333.33
75.00,2,FALSE,FALSE,FALSE,Parand,635000000.00,21166.67
61.00,1,TRUE,TRUE,FALSE,Punak,2030000000.00,67666.67
61.00,1,TRUE,TRUE,FALSE,Punak,2030000000.00,67666.67
72.00,2,TRUE,TRUE,TRUE,Shahran,2350000000.00,78333.33
100.00,2,TRUE,TRUE,TRUE,Qasr-od-Dasht,3000000000.00,100000.00
122.00,3,TRUE,TRUE,TRUE,Aqdasieh,7200000000.00,240000.00
215.00,3,TRUE,TRUE,TRUE,Pakdasht,1750000000.00,58333.33
101.00,2,TRUE,TRUE,TRUE,Railway,3300000000.00,110000.00
67.00,2,TRUE,TRUE,TRUE,Punak,2800000000.00,93333.33
72.00,2,TRUE,TRUE,FALSE,Punak,2200000000.00,73333.33
63.00,1,TRUE,TRUE,FALSE,Punak,2200000000.00,73333.33
75.00,2,TRUE,TRUE,FALSE,Punak,2200000000.00,73333.33
109.00,2,TRUE,TRUE,TRUE,Shahran,3500000000.00,116666.67
122.00,2,TRUE,TRUE,TRUE,Aqdasieh,7000000000.00,233333.33
70.00,1,TRUE,TRUE,TRUE,Central Janatabad,3100000000.00,103333.33
60.00,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2450000000.00,81666.67
53.00,1,TRUE,TRUE,FALSE,East Ferdows Boulevard,1920000000.00,64000.00
90.00,1,FALSE,TRUE,FALSE,Pakdasht KhatunAbad,850000000.00,28333.33
72.00,2,TRUE,TRUE,TRUE,Amirieh,1650000000.00,55000.00
74.00,2,TRUE,TRUE,TRUE,Amirieh,1700000000.00,56666.67
88.00,3,FALSE,FALSE,TRUE,Parand,560000000.00,18666.67
63.00,1,TRUE,TRUE,TRUE,Punak,2150000000.00,71666.67
114.00,3,TRUE,TRUE,TRUE,Sattarkhan,5500000000.00,183333.33
151.00,3,TRUE,TRUE,TRUE,Saadat Abad,10200000000.00,340000.00
42.00,1,TRUE,FALSE,TRUE,Shahran,1760000000.00,58666.67
74.00,2,TRUE,TRUE,TRUE,Amirieh,1700000000.00,56666.67
88.00,3,FALSE,FALSE,TRUE,Parand,560000000.00,18666.67
63.00,1,TRUE,TRUE,TRUE,Punak,2150000000.00,71666.67
114.00,3,TRUE,TRUE,TRUE,Sattarkhan,5500000000.00,183333.33
151.00,3,TRUE,TRUE,TRUE,Saadat Abad,10200000000.00,340000.00
42.00,1,TRUE,FALSE,TRUE,Shahran,1760000000.00,58666.67
300.00,3,TRUE,TRUE,FALSE,Baghestan,1500000000.00,50000.00
110.00,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3730000000.00,124333.33
100.00,2,FALSE,FALSE,FALSE,Shahrake Qods,620000000.00,20666.67
140.00,1,FALSE,FALSE,FALSE,Shahryar,580000000.00,19333.33
70.00,2,TRUE,TRUE,TRUE,Northern Janatabad,3050000000.00,101666.67
60.00,2,TRUE,TRUE,FALSE,West Ferdows Boulevard,2000000000.00,66666.67
76.00,2,TRUE,TRUE,TRUE,North Program Organization,2600000000.00,86666.67
148.00,3,TRUE,TRUE,TRUE,Daryan No,5990000000.00,199666.67
75.00,2,TRUE,TRUE,TRUE,North Program Organization,2300000000.00,76666.67
40.00,1,TRUE,TRUE,FALSE,Pirouzi,1300000000.00,43333.33
65.00,2,TRUE,TRUE,TRUE,Southern Program Organization,2270000000.00,75666.67
140.00,3,TRUE,TRUE,TRUE,Rudhen,4000000000.00,133333.33
110.00,2,TRUE,TRUE,TRUE,West Pars,4000000000.00,133333.33
70.00,2,TRUE,FALSE,TRUE,Afsarieh,1650000000.00,55000.00
128.00,3,TRUE,TRUE,TRUE,Marzdaran,6700000000.00,223333.33
94.00,2,TRUE,TRUE,TRUE,Parand,580000000.00,19333.33
67.00,1,TRUE,TRUE,TRUE,Punak,2300000000.00,76666.67
75.00,1,TRUE,TRUE,TRUE,Shahrake Qods,650000000.00,21666.67
130.00,2,TRUE,TRUE,TRUE,Dorous,16900000000.00,563333.33
40.00,0,FALSE,FALSE,FALSE,Shahrake Qods,248000000.00,8266.67
97.00,2,TRUE,TRUE,TRUE,Pardis,510000000.00,17000.00
110.00,2,TRUE,TRUE,TRUE,Shahran,3850000000.00,128333.33
150.00,3,TRUE,TRUE,TRUE,Sadeghieh,6000000000.00,200000.00
75.00,2,FALSE,FALSE,FALSE,Chahardangeh,780000000.00,26000.00
137.00,3,TRUE,TRUE,TRUE,ShahrAra,7200000000.00,240000.00
85.00,2,TRUE,TRUE,TRUE,Parand,410000000.00,13666.67
68.00,2,FALSE,TRUE,FALSE,Pakdasht,430000000.00,14333.33
78.00,2,FALSE,TRUE,FALSE,Baqershahr,800000000.00,26666.67
85.00,2,TRUE,TRUE,TRUE,Parand,545000000.00,18166.67
100.00,2,TRUE,TRUE,FALSE,Parand,1280000000.00,42666.67
71.00,2,TRUE,TRUE,TRUE,Punak,2800000000.00,93333.33
140.00,3,TRUE,TRUE,TRUE,Gisha,11200000000.00,373333.33
136.00,3,TRUE,TRUE,FALSE,Parand,750000000.00,25000.00
48.00,1,FALSE,FALSE,FALSE,Jeyhoon,850000000.00,28333.33
100.00,2,TRUE,TRUE,TRUE,Lavizan,3300000000.00,110000.00
82.00,2,TRUE,FALSE,TRUE,Shams Abad,3280000000.00,109333.33
120.00,3,TRUE,TRUE,TRUE,Fatemi,4800000000.00,160000.00
139.00,3,TRUE,TRUE,TRUE,Gisha,7300000000.00,243333.33
110.00,3,TRUE,TRUE,TRUE,Keshavarz Boulevard,3950000000.00,131666.67
78.00,2,FALSE,FALSE,TRUE,Parand,370000000.00,12333.33
79.00,2,FALSE,FALSE,FALSE,Baghestan,750000000.00,25000.00
66.00,2,TRUE,TRUE,TRUE,Salsabil,1725000000.00,57500.00
78.00,2,TRUE,TRUE,TRUE,Kahrizak,780000000.00,26000.00
85.00,2,TRUE,TRUE,TRUE,Shahryar,1419000000.00,47300.00
100.00,2,TRUE,TRUE,FALSE,Qarchak,1200000000.00,40000.00
80.00,2,TRUE,TRUE,TRUE,Northren Jamalzadeh,3600000000.00,120000.00
44.00,1,TRUE,TRUE,FALSE,Salsabil,1050000000.00,35000.00
120.00,2,TRUE,TRUE,FALSE,Shahryar,1200000000.00,40000.00
50.00,1,FALSE,TRUE,FALSE,Shahrake Qods,340000000.00,11333.33
121.00,3,TRUE,TRUE,FALSE,Ostad Moein,3300000000.00,110000.00
80.00,2,TRUE,TRUE,TRUE,Azarbaijan,2800000000.00,93333.33
70.00,2,FALSE,TRUE,TRUE,Bahar,1200000000.00,40000.00
160.00,1,FALSE,FALSE,FALSE,Qarchak,3600000.00,120.00
40.00,0,FALSE,FALSE,FALSE,Pakdasht,165000000.00,5500.00
88.00,2,TRUE,TRUE,TRUE,Railway,2860000000.00,95333.33
141.00,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,3810000000.00,127000.00
140.00,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,1790000000.00,59666.67
120.00,2,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,1530000000.00,51000.00
66.00,2,FALSE,TRUE,FALSE,Beryanak,1000000000.00,33333.33
70.00,2,TRUE,TRUE,TRUE,Punak,3500000000.00,116666.67
75.00,2,TRUE,FALSE,TRUE,Heshmatieh,3000000000.00,100000.00
70.00,2,FALSE,TRUE,TRUE,Elm-o-Sanat,1800000000.00,60000.00
150.00,3,TRUE,TRUE,TRUE,Saadat Abad,20000000000.00,666666.67
95.00,2,TRUE,TRUE,TRUE,Golestan,950000000.00,31666.67
127.00,2,TRUE,TRUE,TRUE,Southern Janatabad,6000000000.00,200000.00
123.00,3,TRUE,TRUE,TRUE,Shahr-e-Ziba,3700000000.00,123333.33
63.00,2,TRUE,TRUE,TRUE,Southern Janatabad,2000000000.00,66666.67
90.00,2,TRUE,TRUE,TRUE,Punak,3050000000.00,101666.67
105.00,2,TRUE,TRUE,TRUE,Pardis,605000000.00,20166.67
180.00,3,TRUE,TRUE,TRUE,Pasdaran,9900000000.00,330000.00
120.00,3,TRUE,FALSE,TRUE,Pirouzi,3700000000.00,123333.33
65.00,2,TRUE,TRUE,TRUE,Feiz Garden,2500000000.00,83333.33
158.00,3,TRUE,TRUE,TRUE,Farmanieh,10480000000.00,349333.33
144.00,3,TRUE,TRUE,TRUE,Chardivari,7632000000.00,254400.00
144.00,3,TRUE,TRUE,TRUE,Punak,7632000000.00,254400.00
130.00,3,TRUE,TRUE,TRUE,Gheitarieh,12300000000.00,410000.00
245.00,3,TRUE,TRUE,TRUE,Farmanieh,26950000000.00,898333.33
190.00,3,TRUE,TRUE,TRUE,Kamranieh,24300000000.00,810000.00
63.00,2,TRUE,TRUE,TRUE,Central Janatabad,3000000000.00,100000.00
75.00,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,2100000000.00,70000.00
88.00,2,TRUE,FALSE,TRUE,Gholhak,4700000000.00,156666.67
108.00,2,TRUE,TRUE,TRUE,Pasdaran,9180000000.00,306000.00
117.00,2,TRUE,TRUE,TRUE,Islamshahr,1579500000.00,52650.00
200.00,3,TRUE,TRUE,TRUE,Pasdaran,12000000000.00,400000.00
65.00,1,TRUE,TRUE,FALSE,Pirouzi,1750000000.00,58333.33
90.00,2,TRUE,TRUE,TRUE,Central Janatabad,3780000000.00,126000.00
125.00,2,TRUE,TRUE,TRUE,Heravi,8100000000.00,270000.00
140.00,3,TRUE,TRUE,TRUE,Heravi,9100000000.00,303333.33
71.00,2,FALSE,TRUE,TRUE,Hashemi,1550000000.00,51666.67
71.00,2,FALSE,TRUE,TRUE,Jeyhoon,1640000000.00,54666.67
236.00,4,TRUE,TRUE,TRUE,Gheitarieh,20000000000.00,666666.67
67.00,2,TRUE,TRUE,TRUE,Central Janatabad,2750000000.00,91666.67
60.00,1,TRUE,TRUE,TRUE,Punak,1750000000.00,58333.33
220.00,3,TRUE,TRUE,TRUE,Heravi,15400000000.00,513333.33
44.00,1,TRUE,TRUE,FALSE,Andisheh,350000000.00,11666.67
68.00,1,TRUE,TRUE,TRUE,Heravi,4115000000.00,137166.67
100.00,2,TRUE,TRUE,TRUE,Pasdaran,8000000000.00,266666.67
86.00,2,TRUE,TRUE,TRUE,Pardis,580000000.00,19333.33
84.00,2,TRUE,TRUE,TRUE,Pardis,560000000.00,18666.67
94.00,2,TRUE,TRUE,TRUE,Heravi,4800000000.00,160000.00
55.00,1,FALSE,TRUE,FALSE,West Ferdows Boulevard,1550000000.00,51666.67
113.00,2,TRUE,TRUE,TRUE,Saadat Abad,7500000000.00,250000.00
71.00,2,TRUE,TRUE,TRUE,Islamshahr,630000000.00,21000.00
70.00,2,TRUE,TRUE,FALSE,Dehkade Olampic,2000000000.00,66666.67
